,index,Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Tipo,Puntaje
0,1025,@saz2000,Alejandro Zuñiga/Bomberos NL,"Aug 10, 2024 · 2:25 PM UTC",buenos días hoy por la madrugada elementos de bomberos nl asignados a la estación atendieron reporte de incendio en vehículo colonia central monterrey nl,13,1,0,0,https://twitter.com/saz2000/status/1822278078057287693#m,,['https://video.twimg.com/ext_tw_video/1822278053411639296/pu/pl/Qb9MJINYGTuz0BkJ.m3u8?tag=12'],,eléctrico,-1.0682160779833794
1,2406,@Mty_Leones,Vecino de Cumbres,"Jun 20, 2024 · 4:29 PM UTC",de nuevo fuerte viento y lluvia en la zona cumbres si no tiene a que salir no lo haga,25,0,1,0,https://twitter.com/Mty_Leones/status/1803827429909164165#m,,,,lluvia,-0.6254424899816513
2,450,@SSPCMonterrey,Seguridad y Protección a la Ciudadanía Monterrey,"Jun 21, 2024 · 12:16 AM UTC",compañeros de policía y tránsito continuan asistiendo a nuestra ciudadanía en este segundo día de la tormenta tropical alberto,6,0,1,0,https://twitter.com/SSPCMonterrey/status/1803945068925010421#m,"['https://pbs.twimg.com/media/GQjmelAWQAAJwoO.jpg', 'https://pbs.twimg.com/media/GQjmeqrWgAALHjs.jpg', 'https://pbs.twimg.com/media/GQjmelAXoAAYRUF.jpg']",,,inundación,1.37531603500247
3,2593,@cesarmty,César Cepeda,"Jun 20, 2024 · 8:46 PM UTC",importante así luce este edificio de departamentos ubicado en el centro de monterrey en la calle héroes del y washington con daños por el paso de la tormenta tropical alberto que impactó a nuevo león cc pcnuevoleon pcmty,104,35,18,8,https://twitter.com/cesarmty/status/1803892250411438170#m,['https://pbs.twimg.com/media/GQi1yxsWIAAE_jZ.jpg'],,,eléctrico,0.8437401056289673
4,439,@911SanPedro,Rescate 911 San Pedro,"May 11, 2024 · 5:54 PM UTC",precaución sobre la av gomez morin y av roberto garza sada unidades atienden el reporte de un accidente vial en el cual participan varios vehículos spgg pcsp,33,5,0,1,https://twitter.com/911SanPedro/status/1789353279605866960#m,,['https://video.twimg.com/ext_tw_video/1789353255014653952/pu/pl/m-8PPvQlzx0xXwAE.m3u8?tag=12'],,no se relaciona,-1.0885223522782326
5,1385,@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 6, 2024 · 10:30 PM UTC",reportan un accidente con un motociclista en garza sada de sur a norte en carril de alta a la altura de autozone poco antes de lagos del bosque precaución al circular por la zona sspcmonterrey,9,0,0,0,https://twitter.com/AtentosMTYSur/status/1787610902620946566#m,,['https://video.twimg.com/ext_tw_video/1787610879829176320/pu/pl/-EeqfitaQYTcAApT.m3u8?tag=12'],,no se relaciona,-0.8982252180576324
6,1642,@911SanPedro,Rescate 911 San Pedro,"Jun 3, 2024 · 1:25 PM UTC",precaución sobre la av lázaro cárdenas pteote y paseo olga unidades atienden el reporte de un accidente vial tipo volcadura tráfico presente en la zona spgg pcsp,12,4,0,0,https://twitter.com/911SanPedro/status/1797620503013929317#m,['https://pbs.twimg.com/media/GPJuUhhXUAA6sqb.jpg'],,,no se relaciona,-1.0028422586619854
7,1942,@Like_Mty,Likemty,"Jun 20, 2024 · 7:04 PM UTC",imágenes muestran el desbordamiento del río santa catarina bajo el puente cuauhtémoc en cadereyta nl la crecida del agua ha generado preocupación entre los residentes locales y autoridades de protección civil mtyfollow soloenmty cumbresreporta,44,12,0,0,https://twitter.com/Like_Mty/status/1803866526124249599#m,,['https://video.twimg.com/ext_tw_video/1803866441147613184/pu/pl/eeHkalBcK6eyu81i.m3u8?tag=12'],,inundación,-1.041086308658123
8,1061,@911SanPedro,Rescate 911 San Pedro,"Aug 11, 2024 · 4:04 AM UTC",nos encontramos atendiendo el reporte de un incendio en la parte alta del cerro de la loma larga cerca de la colonia vista real spgg pcsp,22,7,0,0,https://twitter.com/911SanPedro/status/1822484106158207138#m,['https://pbs.twimg.com/media/GUrDooTbYAAx6SB.jpg'],,,eléctrico,0.3295780122280121
9,1293,@camion_desde,🚍Desde El Camión🚏,"Jun 20, 2024 · 6:56 PM UTC",ruta va brindar servicio al menos que digan otra cosa están checando los recorridos para evitar zonas con cierres o afectadas por la lluvia,32,3,5,1,https://twitter.com/camion_desde/status/1803864394285154411#m,,,,lluvia,-0.261252611875534
10,807,@municipiodegpe,Municipio de Guadalupe,"Jun 17, 2024 · 10:09 PM UTC",como parte de la preparación ante el pronóstico de lluvias fuertes para guadalupenl y área metropolitana se llevó a cabo una reunión de trabajo con el comité meteorológico de contingencias de guadalupe para analizar puntos de riesgo y medidas preventivas pcgpe sspguadalupe,1,0,2,0,https://twitter.com/municipiodegpe/status/1802826013933711512#m,"['https://pbs.twimg.com/media/GQTstHXXUAAtxbS.jpg', 'https://pbs.twimg.com/media/GQTstHZXcAAPQoK.jpg', 'https://pbs.twimg.com/media/GQTstHcWYAAMGU-.jpg', 'https://pbs.twimg.com/media/GQTstHXX0AE3PX8.jpg']",,,lluvia,0.8232610896229744
11,803,@municipiodegpe,Municipio de Guadalupe,"Jun 19, 2024 · 5:30 PM UTC",ante las pronosticadas lluvias realizamos labores de limpieza y desazolve en gpe pedimos a la ciudadanía mantener despejadas sus banquetas y frente de sus casas libres de basura u objetos que puedan ser arrastrados en caso de corrientes laciudadparacrecer,4,2,4,0,https://twitter.com/municipiodegpe/status/1803480364155093003#m,,['https://video.twimg.com/ext_tw_video/1803457674618499073/pu/pl/2qKjkZyfHL-gqzhu.m3u8?tag=12'],,lluvia,0.0691193640232086
12,1033,@revistacodigo21,Jesús Rubén Peña,"Sep 4, 2024 · 5:58 AM UTC",imagen de radar de meteorología nuevo león indica que áreas de tormentas se extienden en metrópoli de monterrey norte y noreste del estado,20,5,2,0,https://twitter.com/revistacodigo21/status/1831210324088795488#m,['https://pbs.twimg.com/media/GWnEFbTXsAAUqgd.jpg'],,,no se relaciona,-0.2992997914552688
13,1161,@GMtzBerlanga,G. Martínez Berlanga,"Sep 4, 2024 · 9:27 PM UTC",vamos trayendo al coreanoya inundaciones urbanas ahí no se valen excusas ni mamadasrt mariogameztvv elnorte tdnoticiasmx mileniomty mtyfollow darkknightmty mtyleones informativo dianacolomo cesarmty vivianasanchhez consejonl cavmx adrianaesthela,4,2,0,0,https://twitter.com/GMtzBerlanga/status/1831444095111467290#m,['https://pbs.twimg.com/media/GWqYsuaa8AIxTFI.jpg'],,,inundación,-1.193983379751444
14,2112,@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 4:16 AM UTC",ponteatento continuan nuestras unidades de protección civil nuevo león en recorridos de prevención y seguridad ante la presencia de lluvia fuerte que se registra en el estado por la tormenta tropical alberto,114,10,1,0,https://twitter.com/PC_NuevoLeon/status/1803642951240753336#m,,['https://video.twimg.com/ext_tw_video/1803642888686911488/pu/pl/YYgGyMZy63GZnph1.m3u8?tag=12'],,lluvia,1.1314478889107704
15,1239,@elnortelocal,elnortelocal,"Jun 21, 2024 · 5:42 PM UTC",entérate sectores aledaños a la presa libertad sufren inundaciones generadas por los escurrimientos de las lluvias acumuladas en linares más información en,33,7,0,0,https://twitter.com/elnortelocal/status/1804208385442607331#m,,['https://video.twimg.com/ext_tw_video/1804208357596663808/pu/pl/DhgOaA3w9DpIIBK9.m3u8?tag=12'],,inundación,-1.1581644862890244
16,1762,@ABCNoticiasMX,ABCNoticias.mx,"Jun 21, 2024 · 3:54 PM UTC",local san pedro cambia alerta de roja a amarilla por lluvias de alberto pese a ello en el municipio hay cortes de luz y vialidades afectadas esto reconocido por el alcalde miguel treviño,23,10,0,0,https://twitter.com/ABCNoticiasMX/status/1804181018632479101#m,,,,lluvia,-1.003656469285488
17,2559,@ABCNoticiasMX,ABCNoticias.mx,"Jun 20, 2024 · 6:30 PM UTC",una parte del carril express de la avenida constitución y venustiano carranza se desgajó esto por los fuertes niveles de agua que se mantienen en el río santa catarina luis mendoza abcnoticias,29,5,0,1,https://twitter.com/ABCNoticiasMX/status/1803857894733156739#m,"['https://pbs.twimg.com/media/GQiXMUjWwAAuwfu.jpg', 'https://pbs.twimg.com/media/GQiXMU0WoAAW_pb.jpg', 'https://pbs.twimg.com/media/GQiXMUlW0AAC_ks.jpg', 'https://pbs.twimg.com/media/GQiXMUjWgAAnD6w.jpg']",,,inundación,-0.8942751996219158
18,840,@conagua_mx,Conagua,"Jun 20, 2024 · 6:00 PM UTC",comunicado el gobiernomx ha fortalecido el acceso de la población a su derecho humano al agua más información en,16,8,0,0,https://twitter.com/conagua_mx/status/1803850350157533348#m,['https://pbs.twimg.com/media/GQiQVHhakAYH_25.jpg'],,,no se relaciona,0.928266029804945
19,1716,@nmasmonterrey,N+ Monterrey,"Jun 21, 2024 · 4:06 AM UTC",precaución por lluvias y encharcamientos en carretera nacional monterrey nl,9,2,0,0,https://twitter.com/nmasmonterrey/status/1804002965876793490#m,,,,lluvia,-0.7301458194851875
20,2229,@daniel_carrillo,Daniel Carrillo Mtz,"Jun 21, 2024 · 1:46 AM UTC",arrecia nuevamente la lluvia en sannicolas arroyos debajo del de capacidad todas alas avenidas abiertas maneje con precaución pm gobsannicolas emergencias alerta,72,21,4,0,https://twitter.com/daniel_carrillo/status/1803967703901782403#m,,,,lluvia,-1.0089769586920738
21,2011,@Cicmty,CIC,"Jun 20, 2024 · 12:26 AM UTC",vialidad reportan lluvia intermitente pero fuerte en la zona centro de salinasvictoria vía danilouanl,4,0,0,0,https://twitter.com/Cicmty/status/1803585243867402397#m,,,,lluvia,-0.3944236487150192
22,2487,@Informativo3651,Informativo365,"Apr 17, 2024 · 9:44 PM UTC",precaucion se presenta lluvia y granizo en la zona sur de monterrey extreme precaución al conducir pavimento resbaladizo,15,1,2,0,https://twitter.com/Informativo3651/status/1780713888792920185#m,,['https://video.twimg.com/ext_tw_video/1780713785432682496/pu/pl/ipucS0d5WWSNZuY1.m3u8?tag=12'],,lluvia,-1.061920520849526
23,2313,@MAGS_SP,MAGS_SP,"Jun 20, 2024 · 8:46 PM UTC",el último aviso de este sistema alberto norestedeméxixo remanente de alberto la circulación se ha disipado continúan fuertes lluvias e inundaciones en el noreste de méxico,11,1,0,0,https://twitter.com/MAGS_SP/status/1803892289770786963#m,,,,inundación,-1.3880859948694706
24,2259,@Noticias28nl,Noticias 28 NL,"May 3, 2024 · 4:21 PM UTC",bomberos nuevo león rescató a un gatito de un incendio en una vivienda ubicada en la colonia nueva morelos en monterrey en las fotos se observa a un bombero sosteniendo al felino de color blanco con negro de aproximadamente unas semanas de nacido poniéndolo a salvo,1,1,1,0,https://twitter.com/Noticias28nl/status/1786431009560330407#m,"['https://pbs.twimg.com/media/GMqth9-W8AcA5oz.jpg', 'https://pbs.twimg.com/media/GMqtiFjW8AAVpoH.jpg', 'https://pbs.twimg.com/media/GMqtiMPWQAAk-VP.jpg']",,,eléctrico,-1.3427485339343548
25,1913,@IdentidadNL,Identidad Nuevo León,"Jun 9, 2024 · 2:38 AM UTC",lamentable momento del accidente en el rich de san luis potosí donde perdieron la vida dos personas instantáneamente y otras resultaron heridas de gravedad sanluispotosí rich accidente lesionados qepd mtyfollow identidadnlcom,22,6,1,0,https://twitter.com/IdentidadNL/status/1799632160669970820#m,,['https://video.twimg.com/ext_tw_video/1799631589145534464/pu/pl/RO5m6sdRpIN2e-Mm.m3u8?tag=12'],,no se relaciona,-1.833623414160684
26,1880,@LCAlatorre,Dr. Luis Carlos Alatorre,"Jun 21, 2024 · 12:35 PM UTC",niveles de las presas en nuevoleón de junio de a las hrs presa la boca namo lluvias almacenamiento mm presa cerro prieto almacenamiento mm presa el cuchillo almacenamiento mm,1538,228,35,29,https://twitter.com/LCAlatorre/status/1804131100735717819#m,,,,lluvia,-0.7550448253750801
27,2073,@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 20, 2024 · 8:30 PM UTC",fuerte lluvia en la rotonda de solidaridad en monterrey,95,6,0,0,https://twitter.com/LoQuePasaEnNL/status/1803888217458184528#m,,['https://video.twimg.com/ext_tw_video/1803888192325849089/pu/pl/DLVhuOLUhcf14giG.m3u8?tag=12'],,lluvia,-0.145536407828331
28,2703,@IdentidadNL,Identidad Nuevo León,"Jun 17, 2024 · 10:29 PM UTC",dentro de las previsiones por la llegada de fuertes lluvias al estado samuel garcía anunció que se cancelarán las clases y algunos trabajos últimahora lluvias huracán sequía mtyfollow identidadnlcom,3,2,0,0,https://twitter.com/IdentidadNL/status/1802830834266960222#m,['https://pbs.twimg.com/media/GQTwt1vXkAAI_DK.jpg'],,,lluvia,-1.193027574568987
29,2658,@visionmty1,visionmty,"Jun 20, 2024 · 10:11 PM UTC",entregaremos la casa en excelente estado tec de mty el tec de mty emitió un comunicado luego de que se diera a conocer en rrss la inundación que sufrió la casa diáfana premio principal del sorteo que tendría verificativo dentro de unos dias detalles,2,4,1,0,https://twitter.com/visionmty1/status/1803913492908445884#m,"['https://pbs.twimg.com/media/GQjJsZfXIAAREAm.jpg', 'https://pbs.twimg.com/media/GQjJwOdWYAAwEYn.jpg', 'https://pbs.twimg.com/media/GQjJwOoWMAABM97.jpg', 'https://pbs.twimg.com/media/GQjJwOzWwAAExVS.jpg']",,,inundación,0.7558260932564735
30,1600,@cesarmty,César Cepeda,"Jun 21, 2024 · 2:49 PM UTC",por favor disfruten el mejor video del río santa catarina en monterrey tras el paso de la tormenta alberto por nuevo león daniel abad ig chanoc,1483,296,29,14,https://twitter.com/cesarmty/status/1804164655864074541#m,,['https://video.twimg.com/ext_tw_video/1804163881587060736/pu/pl/2LTJYVIYNJWvN2Xj.m3u8?tag=12'],,inundación,1.4158918224275112
31,1550,@revistacodigo21,Jesús Rubén Peña,"Jun 21, 2024 · 3:59 AM UTC",narciso mientras presas de nuevo león elevan nivel por remanentes de tormenta alberto gobernador samuel garcía dijo que con años de trabajo y lluvias nueva presa libertad ya captó millones de metros cúbicos hasta placa puso obra fue dejada inconclusa por el bronco,240,54,40,1,https://twitter.com/revistacodigo21/status/1804001099440931083#m,['https://pbs.twimg.com/media/GQkZZPrXkAAcVJB.jpg'],,,lluvia,-1.290169347077608
32,2424,@mty_360,MTY360™,"Jun 20, 2024 · 1:46 PM UTC",así luce el río santa catarina ante el paso de la tormenta tropical alberto,2147,289,5,10,https://twitter.com/mty_360/status/1803786594857746595#m,,['https://video.twimg.com/ext_tw_video/1803786562460639232/pu/pl/FTC63EBn1-bgehoP.m3u8?tag=12'],,inundación,0.9527099207043648
33,2440,@911SanPedro,Rescate 911 San Pedro,"Jun 18, 2024 · 2:24 AM UTC",precaución sobre blvd diaz ordaz y av corregidora unidades atienden el reporte de un accidente vial en el cual participa un vehículo y el tren spgg pcsp,25,7,1,0,https://twitter.com/911SanPedro/status/1802890088482791504#m,['https://pbs.twimg.com/media/GQUm-piXkAE92Dj.jpg'],,,no se relaciona,-1.1494590528309343
34,2275,@saz2000,Alejandro Zuñiga/Bomberos NL,"May 28, 2023 · 11:45 PM UTC",bomberos nl estación atendió reporte de incendio en vehículo zona centro de santacatarina nl,8,1,0,0,https://twitter.com/saz2000/status/1662968416339206144#m,"['https://pbs.twimg.com/media/FxQM9dhWcAIZNgS.jpg', 'https://pbs.twimg.com/media/FxQM9dfXsAUrz_V.jpg']",,,eléctrico,-1.1322133392095566
35,1410,@Apodaca_News,APODACA NEWS,"Jun 20, 2024 · 3:43 PM UTC",regresa la lluvia en la zona santa rosa apodaca,46,1,3,0,https://twitter.com/Apodaca_News/status/1803815950925340785#m,,,,lluvia,0.1244773268699646
36,1551,@cesarmty,César Cepeda,"Jun 21, 2024 · 1:18 AM UTC",importante después de alberto en el golfo de méxico está en proceso de formación otro ciclón de probabilidad y que en caso de que se confirme se llamaría berly y se espera que traiga más lluvias a nuevo león en los próximos días,1640,322,49,71,https://twitter.com/cesarmty/status/1803960626458337550#m,['https://pbs.twimg.com/media/GQj0itAXgAASl0P.jpg'],,,lluvia,0.4288287535309791
37,368,@Mty_Leones,Vecino de Cumbres,"Jun 21, 2024 · 6:48 PM UTC",es de buen regiomontano ser agradecido demos gracias a dios nuestro señor por la bendición del agua gracias porque los daños fueron menores y pedimos que bendiga a las familias de los que sufrieron una perdida y que nos ayude a ayudar gracias señor por la lluvia,810,104,34,9,https://twitter.com/Mty_Leones/status/1804225008484651343#m,,,,lluvia,1.4371002279222012
38,430,@911SanPedro,Rescate 911 San Pedro,"Jun 5, 2024 · 4:30 PM UTC",nos encontramos atendiendo junto a bomberosnl el reporte de un incendio de vehículo sobre manuel j clouthier y alejandro vi spgg pcsp,5,1,0,0,https://twitter.com/911SanPedro/status/1798391887671484784#m,,,,eléctrico,0.2417553514242172
39,1618,@cesarmty,César Cepeda,"Jun 20, 2024 · 9:40 PM UTC",por cierto alguien ha visto ahora con la tormenta alberto a todos los candidatos y candidatas que hace un mes prometían que harían todo por nuevo león,431,65,58,5,https://twitter.com/cesarmty/status/1803905897061847393#m,,,['https://video.twimg.com/tweet_video/GQjC2SzXkAA_ssk.mp4'],inundación,-0.5345952212810516
40,2669,@visionmty1,visionmty,"Jun 20, 2024 · 12:33 AM UTC",cierres viales suspensión de servicio urbano de varias rutas precauciones tormenta alberto por stibaliz ruizurquijo autoridades de pcnuevoleon ha dado a conocer los cierres viales que ya se implementaron en el área metropolitana de monterrey seguimos actualizando,2,1,0,0,https://twitter.com/visionmty1/status/1803586849992311039#m,['https://pbs.twimg.com/media/GQegjZ6WEAAupuo.jpg'],,,no se relaciona,-0.628582164645195
41,1407,@Apodaca_News,APODACA NEWS,"Jun 20, 2024 · 3:54 PM UTC",continúan cierres de las vialidades en apodaca evite pasar por estas zonas desde ayer en la noche presentan un alto nivel de agua que no permiten pasar sspapodaca resguarda estos cruces,36,10,0,0,https://twitter.com/Apodaca_News/status/1803818788367835287#m,"['https://pbs.twimg.com/media/GQhzoJxWQAA8Xge.jpg', 'https://pbs.twimg.com/media/GQhzoJxXYAAK6xl.jpg', 'https://pbs.twimg.com/media/GQhzoJyXsAAWfMo.jpg']",,,no se relaciona,-0.527550458908081
42,1173,@PiloMedellin,Porfirio Medellín,"Sep 5, 2024 · 12:39 AM UTC",así se vivió el rescate de dos personas que quedaron atrapadas en el río santa catarina en monterrey tras incrementar la fuerza de la corriente por la intensa lluvia reconocimiento total a los elementos mujeres y hombres de pcmty y pcnuevoleon,2,2,0,0,https://twitter.com/PiloMedellin/status/1831492261496103113#m,,['https://video.twimg.com/ext_tw_video/1831492049977090048/pu/pl/ysNr-s97Ho-Q3_Fu.m3u8?tag=12'],,lluvia,0.7066569998860359
43,2629,@PortalElPunto,Portal El Punto,"Jun 20, 2024 · 5:47 AM UTC",realiza pcmty el cierre del vado ubicado en constitución y la calle padre mier debido a inundaciones en la zona por las lluvias de tormentatropical alberto,0,0,0,0,https://twitter.com/PortalElPunto/status/1803666055073595424#m,,['https://video.twimg.com/ext_tw_video/1803595021477695488/pu/pl/Tyhdt7aXKb5OGB6g.m3u8?tag=12'],,inundación,0.5849029645323753
44,411,@911SanPedro,Rescate 911 San Pedro,"Jun 20, 2024 · 5:31 AM UTC",nos encontramos atendiendo junto a bomberosnl el reporte de un incendio en un árbol y cableado sobre la av ricardo margain y av del roble spgg pcsp,25,4,2,1,https://twitter.com/911SanPedro/status/1803661815081038257#m,['https://pbs.twimg.com/media/GQfk3NlXwAA-Ebh.jpg'],,,eléctrico,0.0694654583930969
45,1688,@Informativo3651,Informativo365,"Apr 10, 2024 · 11:43 PM UTC",colapsa puente en la avenida la aurora y zócalo en sannicolás el percance se registró luego de que una grúa con exceso de dimensiones intentara pasar por el sitio de manera preliminar se habla de tres lesionados y dos vehículos dañados,11,3,0,0,https://twitter.com/Informativo3651/status/1778207116358299977#m,"['https://pbs.twimg.com/media/GK118rsXQAAFeZL.jpg', 'https://pbs.twimg.com/media/GK118tmX0AAh-yw.jpg', 'https://pbs.twimg.com/media/GK118whXEAARgoc.jpg']",,,inundación,-1.7402463529724628
46,1366,@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"Jun 5, 2024 · 8:30 PM UTC",reportan un accidente en garza sada y alfonso reyes sobre la lateral frente a la plaza contry precaución al circular por la zona sspcmonterrey,14,2,0,0,https://twitter.com/AtentosMTYSur/status/1798452339495637449#m,"['https://pbs.twimg.com/media/GPVi3vnaIAAI5rP.jpg', 'https://pbs.twimg.com/media/GPVi30ZaMAA4JbF.jpg']",,,no se relaciona,-1.1992741711437702
47,1389,@Apodaca_News,APODACA NEWS,"Jun 21, 2024 · 3:33 PM UTC",precaución en isidoro sepúlveda y miguel aleman apodaca la caída de agua a las alcantarillas es muy fuerte y provoca que se salga el agua aydmonterrey staclinea,30,5,1,0,https://twitter.com/Apodaca_News/status/1804175878940770749#m,['https://pbs.twimg.com/media/GQm4ZiDWUAAXrHh.jpg'],,,inundación,-1.213982531800866
48,1368,@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 28, 2024 · 10:32 PM UTC",reportan un accidente en garza sada de sur a norte a la altura de fuerza civil dos carriles comprometidos precaución al circular por la zona sspcmonterrey,20,3,9,2,https://twitter.com/AtentosMTYSur/status/1795583967124705732#m,"['https://pbs.twimg.com/media/GOsyGe8bcAM_K-j.jpg', 'https://pbs.twimg.com/media/GOsyGe4bcAkw02Y.jpg', 'https://pbs.twimg.com/media/GOsyGlJbcAYt_3t.jpg']",,,no se relaciona,-1.4067702256143093
49,511,@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:30 PM UTC",local la casa del tec ubicada en santa catarina y que será rifada este sábado sufre inundaciones por las lluvias de la tormenta alberto más información en,40,13,5,1,https://twitter.com/elnortelocal/status/1803888060171718708#m,,['https://video.twimg.com/ext_tw_video/1803888007209984000/pu/pl/kdU2UaE3QVmJttZc.m3u8?tag=12'],,inundación,-1.041253674775362
